Vendor Name,Vendor Overview,Product Name,Product Description,Legal Functionality,Functionality Sub-Category,Main problem solved,Primary User Segment,Maturity Entry Level,Regions Served,AI Powered,AI Platform Type,Hosting Location,Pricing Model,Demo / Proof of Concept Available,Adoption Level,Ease of Purchase,Deployment Model,Industry Focus,Languages Supported,HQ,Office Locations,Hosting Provider,ISO Certifications,Security & Compliance Certifications,Approx. Price Range (AUD),Customer Reviews,Customer Feedback Rating,Vendor Website,Vendor Contact Details
Macro,"Macro provides a workspace for teams with features like markdown-compatible files, diagramming, project management, and smart document transformation.",Macro,"Macro is a workspace tool that offers features like markdown-compatible files, diagramming, project management, smart document transformation, and collaborative editing.",,,Provides a collaborative workspace with document transformation and project management capabilities.,,,,No,,,,,Mainstream / Proven,,Cloud (SaaS),Other / Not Specified,,,,,ISO 27001,SOC 2 (Type I or II),,,,https://macro.com,
Maite.ai,Maite.ai is a legal AI copilot designed to reduce time and increase legal accuracy for lawyers and legal professionals.,Maite.ai,"Maite.ai is an AI-powered legal assistant that helps with document review, drafting, and other repetitive tasks to enhance legal productivity.",AI Legal Assistants & Productivity Tools,"Document review,drafting,and legal research assistance.",Reduces time spent on repetitive legal tasks and increases accuracy.,Corporate legal; Private practice,Advanced,Europe (UK & EU),Yes,Conversational / Copilot Layer; Natural Language Processing (NLP) / Text Analytics,Europe / UK,Freemium / Free Trial,Yes,Growing Adoption,Very Easy,Cloud (SaaS),Corporate,,"Barcelona, Spain","Avda. Diagonal 534, Entresuelo, 08006, Barcelona, España",,,GDPR Compliance (EU),,Positive feedback from legal professionals highlighting time savings and strategic focus.,,https://www.maite.ai,"+34 931 229 676, soporte@maite.ai"
Mantle,"Mantle is a modern platform that replaces time-consuming workflows with intelligent equity management, offering cap table setup and management, compliance, and legal workflows.",Mantle,"Mantle is a platform for cap table setup and management, compliance, and legal workflows, designed to be easy to learn and scalable.","Compliance, Risk & Governance",Cap table management and legal document workflows,Simplifies cap table management and ensures compliance with legal workflows.,Corporate legal,Advanced,North America (US & Canada),Yes,Natural Language Processing (NLP) / Text Analytics,,Freemium / Free Trial,Yes,Growing Adoption,Very Easy,Cloud (SaaS),Corporate,English only,,,,,,<$10K,,,https://withmantle.com,
Marveri,"Marveri provides AI solutions for corporate and transactional work, focusing on document organization, comparison, and review.",Marveri,"AI solution for corporate and transactional work, offering document organization, comparison, and review tools.","Cross-Border, Transactions & Deal Management",Document organization and review for M&A and corporate transactions.,Accelerates document review and organization for corporate and transactional work.,Corporate legal; Private practice,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,,Yes,,,Cloud (SaaS),Corporate,English only,,,,,SOC 2 (Type I or II),,,,https://www.marveri.com,
Matey AI,Matey AI provides legal software that analyzes and processes large data sets to assist attorneys in preparing for trials by extracting insights and automating processes.,Matey AI,"Matey AI is a legal technology platform that empowers criminal defense teams to extract insights, automate processes, and prepare for motions and trials by analyzing large volumes of data.","Litigation, Disputes & Investigations",Trial preparation and data analysis,Reduces time spent on discovery and optimizes trial preparation by analyzing and processing large data sets.,Litigation / Disputes Teams,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,,,,,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.matey.ai,
midpage AI Inc.,,midpage,"A legal research platform with generative AI, offering features like AI headnotes, grid search, and AI filtering.",Legal Research & Insights,,Improves efficiency and precision in legal research using AI.,Private practice; Corporate legal,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Emerging / New Entrant,Very Easy,Cloud (SaaS),Other / Not Specified,English only,"New York City, USA","New York City, USA",,,,<$10K,Positive reviews from legal professionals highlighting efficiency and unique features.,,https://www.midpage.ai,"77 Sands Street, 6th floor, Dumbo Heights, Brooklyn NY 11201, USA"
MineOS,"MineOS provides a modular platform for privacy, security, and compliance leaders, offering solutions like data mapping, DSR automation, privacy risk management, and AI governance.",MineOS,"MineOS is a platform that automates privacy, risk, and compliance management with AI agents, offering features like data mapping, DSR automation, and privacy risk management.","Compliance, Risk & Governance","Privacy compliance,risk management,AI governance","Automates privacy, risk, and compliance management to help organizations stay ahead of regulations and manage data efficiently.",Compliance & Risk Teams,Enterprise-grade,,Yes,AI Integration / Orchestration Layer,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Other / Not Specified,,,,,,GDPR Compliance (EU),,"MineOS is praised for its end-to-end privacy compliance solutions, strong value, and outstanding support.",,https://www.mineos.ai,Contact Us page available on the website.
MinuteBox Inc.,MinuteBox is a leading legal entity management platform that helps businesses manage and stay compliant by providing automated legal compliance solutions in a secure cloud platform.,MinuteBox,"MinuteBox is a cloud-based legal entity management platform that automates legal compliance, centralizes corporate records, and provides tools for document generation and compliance monitoring.",Corporate Governance & Entity Management,"Entity management,compliance monitoring,document generation",Automates legal compliance and centralizes corporate records to improve legal governance.,Corporate legal; Legal Operations Professionals,Enterprise-grade,North America (US & Canada),Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,"Thornhill, ON, Canada",,,,,,"MinuteBox is praised for its ease of use, comprehensive features, and exceptional customer service.",,https://www.minutebox.com,"+1-833-4-MNTBOX, info@minutebox.com"
MyMai,MyMai is an AI platform designed to enhance business development by automating client engagement and outreach opportunities.,MyMai Express,"MyMai Express is a product that facilitates personalized, AI-powered client development, integrating with CRM and data to provide a seamless experience.",Business Partnering & Self-Service Tools,,Automates client engagement and outreach opportunities to enhance business development.,Professional Services,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,,,,,Cloud (SaaS),Professional Services,,,,Azure,,,,,,https://mymai.ai,
Nebula Legal,Nebula is a powerful and scalable SaaS eDiscovery platform designed to handle terabyte-scale discovery with advanced AI and automation features.,Nebula,"Nebula is a SaaS eDiscovery platform with advanced AI, automation, and scalability for handling terabyte-scale data discovery.","Litigation, Disputes & Investigations",,"Handles complex, high-stakes eDiscovery projects with ease, providing powerful AI and automation for efficient data processing and review.",Litigation / Disputes Teams,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,Multi-Region / Distributed Cloud,,,,,Cloud (SaaS),Other / Not Specified,,,,,,,,"Nebula is praised for its ease of use, unique features, and excellent support.",,https://ai.ediscovery.com,
Negotiagent B.V.,Negotiagent B.V. provides AI-powered contract negotiation tools that automate and enhance the negotiation process by learning from past negotiation patterns.,negoti agent,"negoti agent is an AI-powered tool that automates contract negotiation by learning from past negotiation patterns and strategies, providing strategic redlines and guidance.",Contracting & Document Automation,AI contract negotiation and strategy automation,Automates and enhances contract negotiation by learning from past negotiation patterns to provide strategic guidance.,Corporate legal; Contract Management Teams / Procurement,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics; Recommendation & Decision Support Systems,,,,,,Cloud (SaaS),Corporate,,,,,,,,,,https://www.negotiagent.ai,contact@negotiagent.ai
Newcode.ai,"Newcode.ai provides an AI platform designed for legal professionals to process documents faster, extract key insights, and reduce unbillable hours within a secure, private instance.",Agentic AI Platform,"The Agentic AI Platform helps legal professionals create custom workflows, automate document review and drafting, and maintain secure, compliant systems.",AI Legal Assistants & Productivity Tools,Document review and drafting automation,Reduces unbillable hours and improves document processing efficiency for legal professionals.,Corporate legal; Private practice,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; AI Integration / Orchestration Layer,,Subscription (SaaS),Yes,Growing Adoption,Moderate,Cloud (SaaS),Corporate,English only,"470 Ramona St, Palo Alto, CA 94301, USA","470 Ramona St, Palo Alto, CA 94301, USA; Dokkveien 1, 0250 Oslo, Norway",,,,,,,https://newcode.ai,"470 Ramona St, Palo Alto, CA 94301, USA; Dokkveien 1, 0250 Oslo, Norway"
NewLaw,"NewLaw leverages technology and legal operations to deliver value to clients and provide firms with a competitive edge. They offer services in practice management software implementations, data migration, e-discovery, and cybersecurity projects.",Legal Software Data Migration,"Specializes in migrating from a range of legacy systems to modern legal systems, including LEAP, 3E, Aderant, Affinity, and others.",Integration & Platform Infrastructure,Data Migration,"Facilitates the migration of data from legacy legal systems to modern platforms, reducing risks associated with the process.",Corporate legal; Private practice,,,No,,,,,,,,Other / Not Specified,,,,,,,,,,https://newlaw.com,Contact through website
NLPatent,"NLPatent provides AI-powered patent intelligence solutions, enabling faster and more precise patent searches and analyses.",NLPatent,"NLPatent is an AI-powered tool designed to enhance patent searches and analyses, providing faster and more accurate results.","Intellectual Property, Technology & Data",Patent search and analysis,Enhances patent searches and analyses by providing faster and more accurate results.,Intellectual Property Teams,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,,,Growing Adoption,,,Other / Not Specified,,,,,,,,"NLPatent is praised for its precision and speed in patent searches, becoming an indispensable tool for users.",,https://www.nlpatent.com,
"No More Screenshots, Inc.","No More Screenshots, Inc. provides Hearsay, a tool for legal teams to collect, review, and analyze messages from various devices.",Hearsay,"Hearsay is a tool for legal teams to collect, review, and analyze messages from iPhones, Androids, and other devices.","Litigation, Disputes & Investigations",Data extraction and analysis for legal cases,Simplifies the collection and analysis of digital messages for legal cases.,Litigation / Disputes Teams,,,No,,,Freemium / Free Trial,Yes,,Very Easy,Cloud (SaaS),Other / Not Specified,English only,,,,,SOC 2 (Type I or II),,,,https://usehearsay.com,
Norm Ai,"Norm Ai enables institutions to move faster, reduce risk, and unlock growth with Regulatory AI by turning laws, regulations, and policies into AI agents.",Regulatory AI,Regulatory AI Agents that accelerate legal & compliance by turning complex regulations into actionable AI agents.,"Compliance, Risk & Governance",Regulatory AI Agents for legal and compliance work,Closes the compliance gap and helps legal and compliance teams increase their capacity with Regulatory AI.,Corporate legal; Compliance & Risk Teams,Enterprise-grade,,Yes,Domain-Specific or Proprietary AI Engines,,,Yes,Growing Adoption,,,Corporate,English only,,,,,,,,,https://www.norm.ai,
Nymiz,"Nymiz provides AI-driven data anonymization and redaction software, offering solutions for data privacy and compliance with regulations like GDPR and HIPAA.",Nymiz,"AI-driven data anonymization and redaction software that replaces sensitive information with synthetic data, tokenization, or asterisks.","Compliance, Risk & Governance",Data anonymization and redaction,Protects sensitive data and ensures compliance with privacy regulations by anonymizing and redacting data.,Corporate legal; Compliance & Risk Teams,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Hybrid,Corporate,Multilingual (supports major global languages),"Bilbao, Spain","Spain, USA",,,GDPR Compliance (EU),,,,https://www.nymiz.com,"Spain Office: C/ Gran Vía de Don Diego López de Haro 1, planta 7 – 48001 (Spain) +34 682 61 12 52; USA Office: 127 West 26th St., 5th Floor New York, NY, 10001 +1 (315) 938-3193"
Obviate.ai,"Obviate.ai is a contract negotiation platform powered by autonomous AI agents, providing detailed contract review, comprehensive risk analysis, and precise redlining.",Obviate.ai,"Obviate.ai automates contract risk analysis and redlining processes using advanced AI capabilities, providing unparalleled insights for business and legal professionals.",Contracting & Document Automation,Contract risk analysis and redlining,"Automates contract risk analysis and redlining, reducing time and legal costs.",Corporate legal; Contract Management Teams / Procurement,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics,,,Yes,Emerging / New Entrant,Moderate,Cloud (SaaS),Corporate,English only,,,Other,,SOC 2 (Type I or II),,,,https://www.obviate.ai,info@obviate.ai
Oratio Technologies,"Oratio Technologies provides AI-powered chatbot solutions to simplify legal processes, offering quick and reliable legal references tailored to German law.",Oratio AI-Powered Legal Chatbot,"An AI-driven chatbot that provides quick and reliable legal references tailored to German law, designed for both individuals and professionals.",AI Legal Assistants & Productivity Tools,"Legal chatbots,document review,and analysis",Simplifies complex legal topics and provides tailored legal solutions.,Corporate legal; Private practice; Legal Operations Professionals,Advanced,Europe (UK & EU),Yes,Natural Language Processing (NLP) / Text Analytics; Conversational / Copilot Layer,,Tiered / Plan-Based,Yes,Emerging / New Entrant,Easy,Cloud (SaaS),Other / Not Specified,English + Limited Other Languages,,,,,,,,,https://www.oratiotechnologies.com,contact@oratiotechnologies.com
Otter.ai,"Otter.ai is a smart note-taking app that empowers users to remember, search, and share voice conversations. It creates smart voice notes that combine audio, transcription, speaker identification, inline photos, and key phrases.",Otter,"Otter is a smart note-taking app that empowers users to remember, search, and share voice conversations. It creates smart voice notes that combine audio, transcription, speaker identification, inline photos, and key phrases.",,,"Helps users to be more focused, collaborative, and efficient in meetings, interviews, lectures, and wherever important conversations happen.",,,,Yes,,,,,,,,,,,,,,,,,,https://otter.ai,
Parley,"Parley is a company that provides AI-powered tools for immigration professionals, helping them streamline visa processing and improve client outcomes.",Parley,"Parley provides AI tools for immigration professionals to draft visa applications efficiently, including features like context-aware reference letters and document integration.",AI Legal Assistants & Productivity Tools,Immigration case drafting and processing,Streamlining immigration visa processing and improving efficiency for legal teams.,Private practice,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,,Cloud (SaaS),Professional Services,English only,,,,,SOC 2 (Type I or II),,"Positive feedback from users like Chris and Kelly, highlighting efficiency and improved client outcomes.",,https://www.parley.so,
"Patentext, Inc.","Patentext is an AI patent drafting tool that provides full visibility and control, allowing users to draft patents faster by mapping the invention with the user.",Patentext,Patentext is an AI patent drafting tool that allows users to draft patents 3x faster by providing a visual breakdown of the invention and guiding the drafting process.,"Intellectual Property, Technology & Data",Patent drafting,"Speeds up patent drafting process and reduces errors by providing a structured, guided drafting interface.",Intellectual Property Teams,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Freemium / Free Trial,Yes,Emerging / New Entrant,Very Easy,Cloud (SaaS),Corporate,English only,,,,,SOC 2 (Type I or II),,,,https://www.patentext.com,
Patently,"Patently provides AI-driven solutions for patent drafting, analysis, and search, designed to simplify and enhance patent-related workflows.",Patently,"Patently offers AI-driven patent drafting, analysis workflows, SEP analytics, and AI search capabilities.","Intellectual Property, Technology & Data",Patent drafting and analysis,Simplifies and enhances patent drafting and analysis processes using AI.,Intellectual Property Teams,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics; Conversational / Copilot Layer,,Subscription (SaaS),Yes,,Easy,Cloud (SaaS),Corporate,English only,,,,,,,,,https://patently.com,
PatentPal,PatentPal is a venture-backed company founded in Silicon Valley by Harvard alums with expertise in patent law and machine learning. It builds software to auto-generate language for patent applications.,PatentPal,"PatentPal automates the mechanical writing in patent applications by generating specifications and figures with one click, and allows customization of generated phrases.","Intellectual Property, Technology & Data",Patent application automation,"Automates the generation of language and figures for patent applications, saving time and enhancing efficiency.",Intellectual Property Teams,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,,,Emerging / New Entrant,,Cloud (SaaS),Corporate,English only,Silicon Valley,,,,,,,,https://patentpal.com,info@patentpal.com
Patlytics,"Patlytics is an AI-native platform designed to reduce cycle times, increase margins, and deliver winning IP outcomes at scale. It powers every phase of the patent workflow with advanced AI capabilities.",Patlytics,"Patlytics is an AI-powered patent platform that reduces cycle times, increases margins, and delivers winning IP outcomes. It automates patent workflows, including drafting, infringement detection, and portfolio management.","Intellectual Property, Technology & Data",Patent workflow automation and management,"Reduces cycle times and increases margins in patent workflows by automating processes such as drafting, infringement detection, and portfolio management.",Intellectual Property Teams,Enterprise-grade,North America (US & Canada); Asia-Pacific (APAC),Yes,Natural Language Processing (NLP) / Text Analytics; Domain-Specific or Proprietary AI Engines,,Enterprise Custom Quote,,Growing Adoption,,Cloud (SaaS),Corporate,English only,,,,ISO 27001,SOC 2 (Type I or II),,Positive reviews highlighting efficiency gains and competitive advantage.,,https://www.patlytics.ai,
Patsnap,"Patsnap fuses the world’s largest proprietary innovation dataset with cutting-edge AI to supercharge R&D, IP strategy, materials science, and drug discovery.",Patsnap Eureka Platform,"Patsnap Eureka Platform is an AI-powered product suite that helps R&D, IP, materials, and life sciences teams move faster, think smarter, and stay ahead.","Intellectual Property, Technology & Data",Patent analysis and IP strategy,"Supercharges R&D, IP strategy, materials science, and drug discovery with AI.",Corporate legal; Intellectual Property Teams,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; Domain-Specific or Proprietary AI Engines,,Subscription (SaaS),Yes,Market Leader / Standard,,Hybrid,Corporate,English + Limited Other Languages,,,,,,,,,https://www.patsnap.com,
Pax AI,,Duty Drawback Software,Software and related services for duty drawback processes.,,,Streamlining duty drawback processes.,,,,,,,,,,,,,,"San Francisco, California",,,,,,,,https://www.paxai.com,support@paxai.com
Paximal,Paximal combines legal expertise with cutting-edge AI technology to deliver a patent drafting solution that aligns with professional standards and goals.,Paximal AI Patent Application Drafting,"Paximal's agentic AI platform produces complete, quality patent drafts in minutes, eliminating the need for prompt engineering and time-consuming iterations.","Intellectual Property, Technology & Data",Patent Application Drafting,Eliminates the need for prompt engineering and time-consuming iterations in patent drafting.,Intellectual Property Teams,Advanced,,Yes,Domain-Specific or Proprietary AI Engines,,,,,,,Corporate,English only,,,,,,,,,https://www.paximal.com,
Paxton AI,"Paxton AI is an AI assistant designed for legal professionals, offering tools for research, drafting, and document analysis.",Paxton,"Paxton is an AI assistant for legal professionals, providing tools for research, drafting, and document analysis.",AI Legal Assistants & Productivity Tools,"Research,drafting,and document analysis","Enhances legal practice efficiency through AI-powered research, drafting, and document analysis.",Corporate legal; Private practice,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,Freemium / Free Trial,Yes,,Very Easy,Cloud (SaaS),Corporate,English only,,,,,SOC 2 (Type I or II),,,,https://www.paxton.ai,
Pincites,"Pincites is an AI contract suite designed for high-stakes legal work, offering tools for contract review and negotiation directly in Word. It combines structured playbooks, flexible AI assistance, and institutional learning to deliver accurate redlines.",Pincites,"Pincites is an AI-powered contract suite that facilitates contract review and negotiation with features like structured playbooks, AI assistance, and institutional learning for accurate redlines.",Contracting & Document Automation,"Contract review and negotiation,playbook management,risk scoring","Streamlines contract review and negotiation processes, reduces time and effort, and improves accuracy with AI assistance.",Corporate legal; Legal Operations Professionals; Contract Management Teams / Procurement,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics; Recommendation & Decision Support Systems,,,,Growing Adoption,,Cloud (SaaS),Corporate,Multilingual (supports major global languages),,,,,SOC 2 (Type I or II),,"Pincites is praised for its efficiency, accuracy, and ability to streamline contract review processes. Customers appreciate the tool's ability to save time and improve margins.",,https://www.pincites.com,Contact via security@pincites.com for security inquiries.
Pitchly,"Pitchly is a platform that automates content creation and data management, providing tools for pitch and proposal solutions integrated with various systems.",Pitchly Platform,The Pitchly Platform automates pitchbook creation using generative AI and integrates data management to enhance content productivity.,Contracting & Document Automation,Content automation and data management for pitchbooks,"Automates the creation of pitchbooks and proposals, saving time and improving data management.",Corporate legal; Private practice,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics; AI Integration / Orchestration Layer,,Subscription (SaaS),Yes,Market Leader / Standard,,Cloud (SaaS),Professional Services,English only,,,,,,,,,https://www.pitchly.com,
"Plural Policy, Inc.","Plural transforms how enterprises and organizations anticipate and act on legislation. Their AI-powered platform delivers accurate bill analysis, policy insights, and stakeholder intelligence.","AI-Powered Bill Tracking & Intelligence, AI-Powered Policy Analyzer","AI-powered tools providing predictive insights, bill analysis, policy insights, and stakeholder intelligence for legislative tracking and management.","Compliance, Risk & Governance",Legislative tracking and policy analysis,Helps organizations anticipate legislative outcomes and strategize accordingly.,Corporate legal; Government / Public Sector; Legal Operations Professionals,Advanced,,Yes,Predictive / Machine Learning (ML) Platforms; Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Moderate,Cloud (SaaS),Government / Public Sector,English only,,,,,,,,,https://pluralpolicy.com,
PointOne,"PointOne provides AI-powered solutions for automated timekeeping and billing, enhancing efficiency and reducing revenue leakage for law firms.",PointOne Time,"PointOne Time is an AI-powered tool for automated timekeeping and billing, designed to improve efficiency and compliance in legal practices.",Legal Operations & Analytics,Automated timekeeping and billing compliance,Reduces revenue leakage and improves billing efficiency for law firms.,Private practice,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,,Cloud (SaaS),Professional Services,English only,,,Azure,ISO 27001,SOC 2 (Type I or II),,Positive reviews from multiple law firm partners highlighting efficiency and support.,,https://pointone.com,
Poppy Legal,"Poppy Legal uses AI to analyze and organize legal spending data, helping legal departments manage outside counsel costs effectively.",Poppy,"Poppy is designed for legal departments to manage outside counsel spending, using AI to analyze and categorize spending data.",Outside Counsel & Spend Management,AI Analysis & Categorization of Legal Spend,Helps legal departments manage and analyze outside counsel spending efficiently.,Corporate legal,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),,,,Cloud (SaaS),Corporate,English only,"2370 E Stadium Blvd, Suite 655 Ann Arbor, MI 48104",,,,,,Positive feedback from various industry GCs highlighting ease of use and effectiveness.,,https://www.poppylegal.com,"2370 E Stadium Blvd, Suite 655 Ann Arbor, MI 48104"
Precisely AB,"Precisely is a user-friendly CLM platform for enterprises and disruptors, offering digital contracting solutions.",Precisely,"Precisely is a CLM platform that automates workflows, document creation, and contract management with features like e-signing and smart archiving.",Contracting & Document Automation,"Workflow automation,e-signing,and smart archiving",Automates contract creation and management to improve efficiency and compliance.,Corporate legal; Contract Management Teams / Procurement,,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,"Gothenburg, Sweden","Gothenburg, Sweden",,,GDPR Compliance (EU),,,,https://preciselycontracts.com,
Predictice,"Predictice is a cutting-edge legal prediction software designed for law professionals seeking efficient case analysis. It provides data-driven insights with key features like outcome prediction, comprehensive analytics, and strategic case comparison.",Predictice,"Predictice is a legal prediction software that offers outcome prediction, comprehensive analytics, and strategic case comparison for legal professionals.","Litigation, Disputes & Investigations",Legal prediction and case analysis,Provides data-driven insights for efficient case analysis and outcome prediction.,Private practice,Advanced,,Yes,Predictive / Machine Learning (ML) Platforms,,On demand,,,,Cloud (SaaS),Other / Not Specified,,,,,,,,No user review,,https://www.appvizer.com/legal/legal-document/predictice,
Propense.ai,Propense.ai is an AI-powered solution that enables professional services firms to proactively anticipate client needs by analyzing firm data and identifying market signals.,Propense,"Propense uses firms’ historical data, service offerings, internal initiatives, and market events to anticipate client needs and recommend relevant services.",Legal Operations & Analytics,,Anticipates client needs and recommends services to enhance client engagement and retention.,Corporate legal; Private practice,Enterprise-grade,,Yes,Predictive / Machine Learning (ML) Platforms,United States,,,Growing Adoption,,Cloud (SaaS),Professional Services,English only,,,AWS,,SOC 2 (Type I or II),,Positive feedback from industry professionals highlighting the tool's impact on client engagement and service recommendations.,,https://propense.ai,
Qanooni,"Qanooni is an AI-powered platform designed to automate legal workflows while preserving a firm's unique tone, style, standards, and playbooks.",Qanooni,"Qanooni delivers AI-powered draft, review, matter summaries, and legal research integrated with DMS, Microsoft Word, and Outlook.",AI Legal Assistants & Productivity Tools,"Drafting,review,matter summaries,and legal research","Automates legal workflows while preserving a firm's unique tone, style, standards, and playbooks.",Corporate legal; Private practice,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,,,,,Cloud (SaaS),Other / Not Specified,Multilingual (supports major global languages),"Dubai, UAE","Dubai, UAE; London, United Kingdom",,ISO 27001,SOC 2 (Type I or II),,,,https://qanooni.ai,Contact us at: [Contact details not provided]
QorusDocs,"QorusDocs provides AI-powered proposal management software designed to streamline the creation of proposals, RFP responses, and other business-critical documents.",QorusDocs AI,"QorusDocs AI is a proposal management software that uses AI to create personalized, accurate, and visually compelling proposals, RFP responses, and other business documents.",AI Legal Assistants & Productivity Tools,Proposal management and document automation,"Streamlines the creation of proposals and RFP responses, improving speed, accuracy, and win rates.",Corporate legal; Private practice; Legal Operations Professionals,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; Conversational / Copilot Layer,,Subscription (SaaS),Yes,Mainstream / Proven,Easy,Cloud (SaaS),Professional Services,English only,,,,,,,,,https://www.qorusdocs.com,
Querious,"Querious is a Legal Conversational Intelligence platform designed to help legal professionals deliver sharper advice, reduce administrative burden, and uphold client confidentiality and professional ethics.",Querious,"Querious is a Legal Conversational Intelligence platform that provides real-time insights during client conversations, helps reduce administrative tasks, and ensures client confidentiality.",AI Legal Assistants & Productivity Tools,Legal Conversational Intelligence,Enhances client conversations with real-time insights and reduces administrative burdens for legal professionals.,Corporate legal; Private practice,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms,,Subscription (SaaS),Yes,Emerging / New Entrant,Very Easy,Cloud (SaaS),Corporate,English only,,,,,GDPR Compliance (EU),,,,https://www.querious.ai,
Qura,"Qura provides a unified platform for accessing legal data from over 1000 sources, including national and EU data, with AI support for legal research.",Qura,"A platform that provides access to a wide range of legal data sources, with AI tools to enhance legal research and discover critical connections.",Legal Research & Insights,AI-enhanced legal data search and analysis,Facilitates faster and more comprehensive legal research by integrating multiple data sources and using AI to find critical connections.,Corporate legal; Legal Operations Professionals,Advanced,Europe (UK & EU),Yes,Natural Language Processing (NLP) / Text Analytics,Europe / UK,,Yes,Growing Adoption,,Cloud (SaaS),Corporate,English only,Sweden,,,,,,Positive feedback on AI support and time-saving capabilities.,,https://www.qura.law,
Rain Intelligence,"Rain Intelligence provides data-driven solutions for legal competitive intelligence, focusing on class action litigation and business development for law firms.",Rain Intelligence Platform,"An AI-driven platform providing real-time insights on emerging class actions, enhancing business development and strategic planning for law firms.","Litigation, Disputes & Investigations",Class action litigation intelligence and business development,Provides early insights into potential class actions and streamlines business development for law firms.,Private practice; Litigation / Disputes Teams,Advanced,,Yes,Predictive / Machine Learning (ML) Platforms; Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,,Cloud (SaaS),Professional Services,,,,,,,,Positive reviews highlighting the platform's effectiveness in early case detection and business development.,,https://www.rainintelligence.com,Email and phone contact available upon request for a demo.
Recital,"Recital provides AI-powered tools for in-house legal teams to gather, organize, and manage contracts efficiently without manual data entry.",Recital Platform,"Recital Platform is an AI-powered tool for managing in-flight contracts and reviewing agreements, with features like contract organization, clause library, and one-click comparisons.",Contracting & Document Automation,"Contract organization,clause library,and AI-assisted drafting.","Automates the gathering, organizing, and updating of contracts to reduce manual data entry and improve efficiency for legal teams.",Corporate legal,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,Multi-Region / Distributed Cloud,,Yes,,Very Easy,Cloud (SaaS),Corporate,English only,,,AWS,,SOC 2 (Type I or II),,,,https://recitalapp.com,
Regology,Regology provides a regulatory intelligence platform that automates and manages the complete cycle of regulatory compliance.,Regology Platform,"Regology's platform automates regulatory compliance, offering solutions for regulatory change management, compliance management, and regulatory research.","Compliance, Risk & Governance","Regulatory Change Management,Compliance Management",Automates and manages the complete cycle of regulatory compliance.,Corporate legal; Compliance & Risk Teams,Advanced,North America (US & Canada),Yes,Natural Language Processing (NLP) / Text Analytics,,Per Seat / License,,,,Cloud (SaaS),Other / Not Specified,English only,,,,,,,,,https://www.regology.com,
Relativity,"Relativity helps organizations organize data, discover truth, and act on it, offering solutions for e-discovery, contract review, and more, backed by AI.",Relativity aiR for Privilege,"Relativity aiR for Privilege is an AI-powered tool designed to identify and protect privileged information, reducing disclosure risks with speed and accuracy.","Litigation, Disputes & Investigations",Privilege review and protection,"Identifies and protects privileged information, reducing disclosure risks.",Litigation / Disputes Teams,Enterprise-grade,North America (US & Canada),Yes,Natural Language Processing (NLP) / Text Analytics; Predictive / Machine Learning (ML) Platforms; Domain-Specific or Proprietary AI Engines,,,,Market Leader / Standard,,Cloud (SaaS),Corporate,Multilingual (supports major global languages),"Chicago, IL, USA",,,,"FedRAMP,Authorization (US)",,,,https://www.relativity.com,"1-312-263-1177, 231 South LaSalle St. 20th Floor Chicago, IL 60604"
